type	time	latitude	longitude	altitude (m)	pace (min/km)	distance (km)	distance_interval (m)	hr	name	desc
T	2023-02-17 09:57:12	51.486619000	-0.165667000	6.2	3.30	1.233	5.04	170		
T	2023-02-17 09:57:13	51.486606000	-0.165658000	6.2	10.58	1.235	1.58	170		
T	2023-02-17 09:57:14	51.486593000	-0.165649000	6.2	10.58	1.236	1.58	170		
T	2023-02-17 09:57:15	51.486551000	-0.165632000	6.2	3.46	1.241	4.82	170		
T	2023-02-17 09:57:16	51.486540000	-0.165627000	6.2	13.10	1.242	1.27	170		
T	2023-02-17 09:57:17	51.486497000	-0.165596000	6.2	3.18	1.248	5.25	170		
T	2023-02-17 09:57:18	51.486483000	-0.165575000	6.2	7.81	1.250	2.13	170		
T	2023-02-17 09:57:19	51.486469000	-0.165554000	6.2	7.81	1.252	2.13	170		
T	2023-02-17 09:57:20	51.486451000	-0.165498000	6.2	3.81	1.256	4.38	170		
T	2023-02-17 09:57:21	51.486449000	-0.165466000	6.2	7.46	1.258	2.23	170		
T	2023-02-17 09:57:22	51.486436000	-0.165395000	6.2	3.24	1.264	5.14	170		
T	2023-02-17 09:57:23	51.486425000	-0.165366000	6.2	7.07	1.266	2.36	170		
T	2023-02-17 09:57:24	51.486414000	-0.165338000	6.2	7.25	1.268	2.30	170		
T	2023-02-17 09:57:25	51.486361000	-0.165325000	6.3	2.79	1.274	5.97	170		
T	2023-02-17 09:57:26	51.486343000	-0.165320000	6.3	8.20	1.276	2.03	170		
T	2023-02-17 09:57:27	51.486290000	-0.165319000	6.3	2.83	1.282	5.90	170		
T	2023-02-17 09:57:28	51.486271000	-0.165306000	6.3	7.25	1.284	2.30	170		
T	2023-02-17 09:57:29	51.486253000	-0.165292000	6.3	7.49	1.287	2.23	170		
T	2023-02-17 09:57:30	51.486212000	-0.165270000	6.3	3.46	1.292	4.81	170		
T	2023-02-17 09:57:31	51.486196000	-0.165264000	6.3	9.12	1.293	1.83	170		
T	2023-02-17 09:57:32	51.486179000	-0.165259000	6.3	8.67	1.295	1.92	170		
T	2023-02-17 09:57:33	51.486141000	-0.165228000	6.3	3.51	1.300	4.74	170		
T	2023-02-17 09:57:34	51.486126000	-0.165217000	6.3	9.08	1.302	1.84	170		
T	2023-02-17 09:57:35	51.486079000	-0.165213000	6.3	3.18	1.307	5.24	170		
T	2023-02-17 09:57:36	51.486066000	-0.165208000	6.3	11.20	1.309	1.49	170		
T	2023-02-17 09:57:37	51.486053000	-0.165202000	6.3	11.07	1.310	1.51	170		
T	2023-02-17 09:57:38	51.486021000	-0.165161000	6.2	3.66	1.315	4.56	170		
T	2023-02-17 09:57:39	51.486013000	-0.165147000	6.2	12.64	1.316	1.32	170		
T	2023-02-17 09:57:40	51.485960000	-0.165127000	6.2	2.75	1.322	6.06	170		
T	2023-02-17 09:57:41	51.485937000	-0.165120000	6.2	6.40	1.325	2.60	170		
T	2023-02-17 09:57:42	51.485914000	-0.165113000	6.2	6.40	1.327	2.60	170		
T	2023-02-17 09:57:43	51.485889000	-0.165058000	6.2	3.53	1.332	4.73	170		
T	2023-02-17 09:57:44	51.485879000	-0.165039000	6.2	9.66	1.334	1.73	170		
T	2023-02-17 09:57:45	51.485863000	-0.164973000	6.2	3.39	1.339	4.92	170		
T	2023-02-17 09:57:46	51.485851000	-0.164953000	6.2	8.65	1.341	1.93	170		
T	2023-02-17 09:57:47	51.485839000	-0.164934000	6.2	8.88	1.342	1.88	170		
T	2023-02-17 09:57:48	51.485762000	-0.164951000	6.2	1.93	1.351	8.65	170		
T	2023-02-17 09:57:49	51.485731000	-0.164961000	6.2	4.74	1.355	3.52	170		
T	2023-02-17 09:57:50	51.485700000	-0.164970000	6.2	4.75	1.358	3.51	170		
T	2023-02-17 09:57:51	51.485655000	-0.164965000	6.1	3.32	1.363	5.02	170		
T	2023-02-17 09:57:52	51.485641000	-0.164957000	6.1	10.08	1.365	1.65	170		
T	2023-02-17 09:57:53	51.485612000	-0.164889000	6.1	2.91	1.370	5.72	170		
T	2023-02-17 09:57:54	51.485601000	-0.164860000	6.1	7.07	1.373	2.36	170		
T	2023-02-17 09:57:55	51.485591000	-0.164830000	6.1	7.06	1.375	2.36	170		
T	2023-02-17 09:57:56	51.485556000	-0.164814000	6.0	4.12	1.379	4.05	170		
T	2023-02-17 09:57:57	51.485540000	-0.164814000	6.0	9.36	1.381	1.78	170		
T	2023-02-17 09:57:58	51.485482000	-0.164820000	6.0	2.58	1.387	6.47	170		
T	2023-02-17 09:57:59	51.485460000	-0.164822000	6.0	6.80	1.390	2.45	170		
T	2023-02-17 09:58:00	51.485438000	-0.164824000	6.0	6.80	1.392	2.45	170		
T	2023-02-17 09:58:01	51.485397000	-0.164829000	5.9	3.64	1.397	4.57	170		
T	2023-02-17 09:58:02	51.485381000	-0.164819000	5.9	8.72	1.399	1.91	170		
T	2023-02-17 09:58:03	51.485340000	-0.164794000	5.9	3.41	1.404	4.88	170		
T	2023-02-17 09:58:04	51.485321000	-0.164781000	5.9	7.25	1.406	2.30	170		
T	2023-02-17 09:58:05	51.485301000	-0.164769000	5.9	7.01	1.408	2.38	170		
T	2023-02-17 09:58:06	51.485269000	-0.164749000	5.9	4.36	1.412	3.82	170		
T	2023-02-17 09:58:07	51.485258000	-0.164743000	5.9	12.89	1.414	1.29	170		
T	2023-02-17 09:58:08	51.485220000	-0.164692000	5.9	3.02	1.419	5.52	170		
T	2023-02-17 09:58:09	51.485209000	-0.164663000	5.8	7.07	1.421	2.36	170		
T	2023-02-17 09:58:10	51.485199000	-0.164634000	5.8	7.24	1.424	2.30	170		
T	2023-02-17 09:58:11	51.485198000	-0.164552000	5.8	2.93	1.429	5.70	170		
T	2023-02-17 09:58:12	51.485195000	-0.164519000	5.8	7.19	1.432	2.32	170		
T	2023-02-17 09:58:13	51.485192000	-0.164486000	5.8	7.19	1.434	2.32	170		
T	2023-02-17 09:58:14	51.485145000	-0.164450000	5.8	2.88	1.440	5.80	170		
T	2023-02-17 09:58:15	51.485133000	-0.164450000	5.8	12.48	1.441	1.34	170		
T	2023-02-17 09:58:16	51.485070000	-0.164436000	5.7	2.36	1.448	7.08	170		
T	2023-02-17 09:58:17	51.485041000	-0.164436000	5.7	5.17	1.451	3.23	170		
T	2023-02-17 09:58:18	51.485011000	-0.164436000	5.7	4.99	1.455	3.34	170		
T	2023-02-17 09:58:19	51.484965000	-0.164441000	5.7	3.25	1.460	5.13	170		
T	2023-02-17 09:58:20	51.484952000	-0.164434000	5.7	10.92	1.461	1.53	170		
T	2023-02-17 09:58:21	51.484924000	-0.164421000	5.7	5.14	1.465	3.24	170		
T	2023-02-17 09:58:22	51.484908000	-0.164410000	5.7	8.60	1.467	1.94	170		
T	2023-02-17 09:58:23	51.484891000	-0.164399000	5.6	8.17	1.469	2.04	170		
T	2023-02-17 09:58:24	51.484869000	-0.164346000	5.6	3.77	1.473	4.42	170		
T	2023-02-17 09:58:25	51.484858000	-0.164336000	5.6	11.84	1.474	1.41	170		
T	2023-02-17 09:58:26	51.484777000	-0.164353000	5.6	1.83	1.484	9.09	170		
T	2023-02-17 09:58:27	51.484758000	-0.164358000	5.6	7.78	1.486	2.14	170		
T	2023-02-17 09:58:28	51.484738000	-0.164363000	5.6	7.40	1.488	2.25	170		
T	2023-02-17 09:58:29	51.484698000	-0.164357000	5.6	3.73	1.492	4.47	170		
T	2023-02-17 09:58:30	51.484681000	-0.164356000	5.5	8.81	1.494	1.89	170		
T	2023-02-17 09:58:31	51.484624000	-0.164323000	5.5	2.47	1.501	6.74	170		
T	2023-02-17 09:58:32	51.484606000	-0.164304000	5.5	6.95	1.503	2.40	170		
T	2023-02-17 09:58:33	51.484588000	-0.164285000	5.5	6.95	1.506	2.40	170		
T	2023-02-17 09:58:34	51.484569000	-0.164230000	5.5	3.82	1.510	4.37	170		
T	2023-02-17 09:58:35	51.484560000	-0.164205000	5.4	8.31	1.512	2.00	170		
T	2023-02-17 09:58:36	51.484551000	-0.164181000	5.4	8.57	1.514	1.94	170		
T	2023-02-17 09:58:37	51.484534000	-0.164149000	5.4	5.71	1.517	2.92	170		
T	2023-02-17 09:58:38	51.484518000	-0.164136000	5.4	8.35	1.519	2.00	170		
T	2023-02-17 09:58:39	51.484484000	-0.164117000	5.4	4.16	1.523	4.01	170		
T	2023-02-17 09:58:40	51.484457000	-0.164097000	5.4	5.04	1.526	3.31	170		
T	2023-02-17 09:58:41	51.484432000	-0.164077000	5.4	5.36	1.530	3.11	170		
T	2023-02-17 09:58:42	51.484389000	-0.164061000	5.4	3.39	1.534	4.91	170		
T	2023-02-17 09:58:43	51.484376000	-0.164052000	5.4	10.58	1.536	1.58	170		
T	2023-02-17 09:58:44	51.484345000	-0.164001000	5.4	3.37	1.541	4.94	170		
T	2023-02-17 09:58:45	51.484333000	-0.163988000	5.4	10.34	1.543	1.61	170		
T	2023-02-17 09:58:46	51.484321000	-0.163974000	5.4	10.09	1.544	1.65	170		
T	2023-02-17 09:58:47	51.484301000	-0.163930000	5.4	4.41	1.548	3.78	170		
T	2023-02-17 09:58:48	51.484292000	-0.163918000	5.4	12.79	1.549	1.30	170		
T	2023-02-17 09:58:49	51.484264000	-0.163862000	5.4	3.34	1.554	4.98	170		
T	2023-02-17 09:58:50	51.484247000	-0.163847000	5.4	7.72	1.556	2.16	170		
T	2023-02-17 09:58:51	51.484231000	-0.163831000	5.4	7.94	1.559	2.10	170		
T	2023-02-17 09:58:52	51.484191000	-0.163840000	5.3	3.71	1.563	4.49	170		
T	2023-02-17 09:58:53	51.484178000	-0.163853000	5.3	9.77	1.565	1.71	170		
T	2023-02-17 09:58:54	51.484164000	-0.163866000	5.3	9.26	1.567	1.80	170		
T	2023-02-17 09:58:55	51.484131000	-0.163905000	5.3	3.65	1.571	4.56	170		
T	2023-02-17 09:58:56	51.484116000	-0.163919000	5.3	8.63	1.573	1.93	170		
T	2023-02-17 09:58:57	51.484085000	-0.163975000	5.3	3.21	1.578	5.20	170		
T	2023-02-17 09:58:58	51.484075000	-0.163997000	5.3	8.82	1.580	1.89	170		
T	2023-02-17 09:58:59	51.484065000	-0.164018000	5.3	9.08	1.582	1.83	170		
T	2023-02-17 09:59:00	51.484019000	-0.164020000	5.3	3.26	1.587	5.12	170		
T	2023-02-17 09:59:01	51.484005000	-0.164018000	5.3	10.66	1.589	1.56	170		
T	2023-02-17 09:59:02	51.483965000	-0.164004000	5.2	3.66	1.593	4.56	170		
T	2023-02-17 09:59:03	51.483946000	-0.163996000	5.2	7.63	1.595	2.19	170		
T	2023-02-17 09:59:04	51.483927000	-0.163987000	5.2	7.56	1.598	2.20	170		
T	2023-02-17 09:59:05	51.483892000	-0.163935000	5.1	3.14	1.603	5.31	170		
T	2023-02-17 09:59:06	51.483880000	-0.163913000	5.1	8.21	1.605	2.03	170		
T	2023-02-17 09:59:07	51.483850000	-0.163845000	5.1	2.88	1.611	5.78	170		
T	2023-02-17 09:59:08	51.483841000	-0.163821000	5.1	8.57	1.613	1.94	170		
T	2023-02-17 09:59:09	51.483832000	-0.163797000	5.1	8.57	1.615	1.94	170		
T	2023-02-17 09:59:10	51.483840000	-0.163711000	5.1	2.76	1.621	6.04	170		
T	2023-02-17 09:59:11	51.483847000	-0.163690000	5.1	10.08	1.622	1.65	170		
T	2023-02-17 09:59:12	51.483876000	-0.163615000	5.1	2.72	1.628	6.13	170		
T	2023-02-17 09:59:13	51.483884000	-0.163587000	5.1	7.79	1.631	2.14	170		
T	2023-02-17 09:59:14	51.483891000	-0.163558000	5.1	7.72	1.633	2.16	170		
T	2023-02-17 09:59:15	51.483895000	-0.163474000	5.1	2.85	1.639	5.85	170		
T	2023-02-17 09:59:16	51.483900000	-0.163441000	5.1	7.07	1.641	2.36	170		
T	2023-02-17 09:59:17	51.483906000	-0.163408000	5.1	6.98	1.643	2.39	170		
T	2023-02-17 09:59:18	51.483921000	-0.163349000	5.1	3.77	1.648	4.43	170		
T	2023-02-17 09:59:19	51.483930000	-0.163325000	5.1	8.57	1.650	1.94	170		
T	2023-02-17 09:59:20	51.483940000	-0.163260000	5.0	3.58	1.654	4.65	170		
T	2023-02-17 09:59:21	51.483941000	-0.163235000	5.0	9.58	1.656	1.74	170		
T	2023-02-17 09:59:22	51.483942000	-0.163209000	5.0	9.21	1.658	1.81	170		
T	2023-02-17 09:59:23	51.483950000	-0.163167000	5.0	5.46	1.661	3.05	170		
T	2023-02-17 09:59:24	51.483948000	-0.163151000	5.0	14.70	1.662	1.13	170		
T	2023-02-17 09:59:25	51.483957000	-0.163075000	5.0	3.10	1.667	5.37	170		
T	2023-02-17 09:59:26	51.483958000	-0.163044000	5.0	7.73	1.670	2.16	170		
T	2023-02-17 09:59:27	51.483959000	-0.163014000	5.0	7.99	1.672	2.09	170		
T	2023-02-17 09:59:28	51.483960000	-0.162928000	4.9	2.79	1.678	5.98	170		
T	2023-02-17 09:59:29	51.483955000	-0.162902000	4.9	8.82	1.680	1.89	170		
T	2023-02-17 09:59:30	51.483973000	-0.162823000	4.9	2.85	1.685	5.84	170		
T	2023-02-17 09:59:31	51.483980000	-0.162797000	4.9	8.47	1.687	1.97	170		
T	2023-02-17 09:59:32	51.483987000	-0.162770000	4.9	8.21	1.689	2.03	170		
T	2023-02-17 09:59:33	51.484007000	-0.162724000	4.9	4.28	1.693	3.89	170		
T	2023-02-17 09:59:34	51.484012000	-0.162710000	4.9	14.88	1.694	1.12	170		
T	2023-02-17 09:59:35	51.484025000	-0.162638000	4.9	3.20	1.700	5.21	170		
T	2023-02-17 09:59:36	51.484025000	-0.162614000	4.9	10.00	1.701	1.67	170		
T	2023-02-17 09:59:37	51.484025000	-0.162591000	4.9	10.43	1.703	1.60	170		
T	2023-02-17 09:59:38	51.484027000	-0.162515000	4.9	3.15	1.708	5.28	170		
T	2023-02-17 09:59:39	51.484029000	-0.162482000	4.9	7.24	1.710	2.30	170		
T	2023-02-17 09:59:40	51.484032000	-0.162448000	4.9	6.99	1.713	2.39	170		
T	2023-02-17 09:59:41	51.484034000	-0.162376000	4.9	3.33	1.718	5.01	170		
T	2023-02-17 09:59:42	51.484037000	-0.162353000	4.9	10.21	1.720	1.63	170		
T	2023-02-17 09:59:43	51.484047000	-0.162285000	4.9	3.43	1.724	4.85	170		
T	2023-02-17 09:59:44	51.484050000	-0.162255000	4.9	7.90	1.726	2.11	170		
T	2023-02-17 09:59:45	51.484054000	-0.162225000	4.9	7.82	1.729	2.13	170		
T	2023-02-17 09:59:46	51.484076000	-0.162171000	4.8	3.72	1.733	4.48	170		
T	2023-02-17 09:59:47	51.484087000	-0.162149000	4.8	8.51	1.735	1.96	170		
T	2023-02-17 09:59:48	51.484074000	-0.162089000	4.8	3.78	1.739	4.41	170		
T	2023-02-17 09:59:49	51.484078000	-0.162064000	4.8	9.30	1.741	1.79	170		
T	2023-02-17 09:59:50	51.484081000	-0.162039000	4.8	9.42	1.743	1.77	170		
T	2023-02-17 09:59:51	51.484079000	-0.161970000	4.8	3.47	1.748	4.80	170		
T	2023-02-17 09:59:52	51.484074000	-0.161946000	4.8	9.48	1.750	1.76	170		
T	2023-02-17 09:59:53	51.484078000	-0.161852000	4.7	2.55	1.756	6.54	170		
T	2023-02-17 09:59:54	51.484083000	-0.161814000	4.7	6.18	1.759	2.70	170		
T	2023-02-17 09:59:55	51.484088000	-0.161777000	4.7	6.34	1.761	2.63	170		
T	2023-02-17 09:59:56	51.484100000	-0.161732000	4.8	4.90	1.765	3.40	170		
T	2023-02-17 09:59:57	51.484115000	-0.161714000	4.8	7.99	1.767	2.09	170		
T	2023-02-17 09:59:58	51.484131000	-0.161696000	4.8	7.66	1.769	2.18	170		
T	2023-02-17 09:59:59	51.484153000	-0.161660000	4.8	4.76	1.773	3.50	170		
T	2023-02-17 10:00:00	51.484155000	-0.161638000	4.8	10.79	1.774	1.54	170		
T	2023-02-17 10:00:01	51.484156000	-0.161554000	4.8	2.86	1.780	5.84	170		
T	2023-02-17 10:00:02	51.484152000	-0.161523000	4.8	7.58	1.782	2.20	170		
T	2023-02-17 10:00:03	51.484149000	-0.161492000	4.8	7.65	1.784	2.18	170		
T	2023-02-17 10:00:04	51.484174000	-0.161420000	4.8	2.91	1.790	5.72	170		
T	2023-02-17 10:00:05	51.484177000	-0.161400000	4.8	11.66	1.792	1.43	170		
T	2023-02-17 10:00:06	51.484193000	-0.161327000	4.8	3.10	1.797	5.37	170		
T	2023-02-17 10:00:07	51.484198000	-0.161306000	4.8	10.68	1.798	1.56	170		
T	2023-02-17 10:00:08	51.484202000	-0.161284000	4.8	10.47	1.800	1.59	170		
T	2023-02-17 10:00:09	51.484208000	-0.161207000	4.7	3.09	1.805	5.39	170		
T	2023-02-17 10:00:10	51.484212000	-0.161186000	4.7	10.93	1.807	1.53	170		
T	2023-02-17 10:00:11	51.484211000	-0.161102000	4.7	2.86	1.813	5.84	170		
T	2023-02-17 10:00:12	51.484220000	-0.161073000	4.7	7.41	1.815	2.25	170		
T	2023-02-17 10:00:13	51.484229000	-0.161045000	4.7	7.62	1.817	2.19	170		
T	2023-02-17 10:00:14	51.484249000	-0.160998000	4.7	4.22	1.821	3.95	170		
T	2023-02-17 10:00:15	51.484250000	-0.160972000	4.7	9.21	1.823	1.81	170		
T	2023-02-17 10:00:16	51.484249000	-0.160889000	4.7	2.89	1.829	5.77	170		
T	2023-02-17 10:00:17	51.484252000	-0.160859000	4.7	7.90	1.831	2.11	170		
T	2023-02-17 10:00:18	51.484255000	-0.160830000	4.7	8.16	1.833	2.04	170		
T	2023-02-17 10:00:19	51.484264000	-0.160757000	4.7	3.22	1.838	5.17	170		
T	2023-02-17 10:00:20	51.484266000	-0.160728000	4.7	8.22	1.840	2.03	170		
T	2023-02-17 10:00:21	51.484268000	-0.160700000	4.7	8.51	1.842	1.96	170		
T	2023-02-17 10:00:22	51.484274000	-0.160611000	4.8	2.68	1.848	6.22	170		
T	2023-02-17 10:00:23	51.484272000	-0.160589000	4.8	10.79	1.850	1.54	170		
T	2023-02-17 10:00:24	51.484303000	-0.160554000	4.8	3.95	1.854	4.22	170		
T	2023-02-17 10:00:25	51.484320000	-0.160544000	4.8	8.27	1.856	2.01	170		
T	2023-02-17 10:00:26	51.484337000	-0.160533000	4.8	8.17	1.858	2.04	170		
T	2023-02-17 10:00:27	51.484354000	-0.160471000	4.8	3.54	1.863	4.70	170		
T	2023-02-17 10:00:28	51.484358000	-0.160463000	4.8	23.41	1.864	0.71	170		
T	2023-02-17 10:00:29	51.484361000	-0.160385000	4.8	3.07	1.869	5.43	170		
T	2023-02-17 10:00:30	51.484355000	-0.160342000	4.8	5.45	1.872	3.06	170		
T	2023-02-17 10:00:31	51.484350000	-0.160299000	4.8	5.49	1.875	3.04	170		
T	2023-02-17 10:00:32	51.484325000	-0.160204000	4.8	2.33	1.882	7.16	170		
T	2023-02-17 10:00:33	51.484322000	-0.160176000	4.8	8.45	1.884	1.97	170		
T	2023-02-17 10:00:34	51.484334000	-0.160106000	4.8	3.31	1.889	5.04	170		
T	2023-02-17 10:00:35	51.484343000	-0.160080000	4.8	8.07	1.891	2.07	170		
T	2023-02-17 10:00:36	51.484353000	-0.160055000	4.8	8.08	1.893	2.06	170		
T	2023-02-17 10:00:37	51.484385000	-0.160052000	4.8	4.67	1.897	3.57	170		
T	2023-02-17 10:00:38	51.484400000	-0.160052000	4.8	9.99	1.899	1.67	170		
T	2023-02-17 10:00:39	51.484397000	-0.159974000	4.8	3.07	1.904	5.43	170		
T	2023-02-17 10:00:40	51.484391000	-0.159932000	4.8	5.57	1.907	2.99	170		
T	2023-02-17 10:00:41	51.484385000	-0.159891000	4.8	5.70	1.910	2.93	170		
T	2023-02-17 10:00:42	51.484402000	-0.159803000	4.8	2.60	1.916	6.40	170		
T	2023-02-17 10:00:43	51.484407000	-0.159771000	4.8	7.27	1.919	2.29	170		
T	2023-02-17 10:00:44	51.484413000	-0.159740000	4.8	7.39	1.921	2.25	170		
T	2023-02-17 10:00:45	51.484426000	-0.159670000	4.8	3.29	1.926	5.07	170		
T	2023-02-17 10:00:46	51.484428000	-0.159652000	4.8	13.12	1.927	1.27	170		
T	2023-02-17 10:00:47	51.484415000	-0.159568000	4.8	2.77	1.933	6.01	170		
T	2023-02-17 10:00:48	51.484410000	-0.159537000	4.8	7.49	1.935	2.22	170		
T	2023-02-17 10:00:49	51.484404000	-0.159507000	4.8	7.62	1.938	2.19	170		
T	2023-02-17 10:00:50	51.484438000	-0.159439000	4.8	2.75	1.944	6.05	170		
T	2023-02-17 10:00:51	51.484451000	-0.159418000	4.8	8.11	1.946	2.05	170		
T	2023-02-17 10:00:52	51.484492000	-0.159384000	4.8	3.24	1.951	5.14	170		
T	2023-02-17 10:00:53	51.484506000	-0.159371000	4.8	9.26	1.953	1.80	170		
T	2023-02-17 10:00:54	51.484519000	-0.159357000	4.8	9.56	1.954	1.74	170		
T	2023-02-17 10:00:55	51.484511000	-0.159282000	4.8	3.15	1.960	5.29	170		
T	2023-02-17 10:00:56	51.484503000	-0.159248000	4.8	6.60	1.962	2.52	170		
T	2023-02-17 10:00:57	51.484502000	-0.159179000	4.8	3.48	1.967	4.79	170		
T	2023-02-17 10:00:58	51.484501000	-0.159147000	4.8	7.49	1.969	2.23	170		
T	2023-02-17 10:00:59	51.484500000	-0.159115000	4.8	7.49	1.971	2.23	170		
T	2023-02-17 10:01:00	51.484503000	-0.159043000	4.8	3.32	1.976	5.01	170		
T	2023-02-17 10:01:01	51.484503000	-0.159009000	4.8	7.06	1.979	2.36	170		
T	2023-02-17 10:01:02	51.484503000	-0.158976000	4.8	7.27	1.981	2.29	170		
T	2023-02-17 10:01:03	51.484504000	-0.158909000	4.8	3.58	1.986	4.66	170		
T	2023-02-17 10:01:04	51.484503000	-0.158882000	4.8	8.87	1.988	1.88	170		
T	2023-02-17 10:01:05	51.484507000	-0.158809000	4.8	3.27	1.993	5.09	170		
T	2023-02-17 10:01:06	51.484508000	-0.158779000	4.8	7.99	1.995	2.09	170		
T	2023-02-17 10:01:07	51.484509000	-0.158750000	4.8	8.26	1.997	2.02	170		
T	2023-02-17 10:01:08	51.484516000	-0.158676000	4.8	3.21	2.002	5.20	170		
T	2023-02-17 10:01:09	51.484526000	-0.158650000	4.8	7.86	2.004	2.12	170		
T	2023-02-17 10:01:10	51.484535000	-0.158567000	4.8	2.85	2.010	5.85	170		
T	2023-02-17 10:01:11	51.484539000	-0.158536000	4.8	7.58	2.012	2.20	170		
T	2023-02-17 10:01:12	51.484542000	-0.158506000	4.8	7.90	2.014	2.11	170		
T	2023-02-17 10:01:13	51.484549000	-0.158452000	4.8	4.35	2.018	3.83	170		
T	2023-02-17 10:01:14	51.484553000	-0.158437000	4.8	14.71	2.019	1.13	170		
T	2023-02-17 10:01:15	51.484568000	-0.158371000	4.8	3.42	2.024	4.88	170		
T	2023-02-17 10:01:16	51.484577000	-0.158341000	4.8	7.21	2.027	2.31	170		
T	2023-02-17 10:01:17	51.484586000	-0.158310000	4.8	7.02	2.029	2.37	170		
T	2023-02-17 10:01:18	51.484588000	-0.158245000	4.8	3.69	2.033	4.52	170		
T	2023-02-17 10:01:19	51.484589000	-0.158224000	4.8	11.39	2.035	1.46	170		
T	2023-02-17 10:01:20	51.484593000	-0.158158000	4.8	3.62	2.039	4.61	170		
T	2023-02-17 10:01:21	51.484593000	-0.158135000	4.8	10.43	2.041	1.60	170		
T	2023-02-17 10:01:22	51.484594000	-0.158112000	4.8	10.41	2.043	1.60	170		
T	2023-02-17 10:01:23	51.484606000	-0.158057000	4.8	4.12	2.047	4.05	170		
T	2023-02-17 10:01:24	51.484612000	-0.158034000	4.8	9.63	2.048	1.73	170		
T	2023-02-17 10:01:25	51.484618000	-0.158010000	4.8	9.28	2.050	1.80	170		
T	2023-02-17 10:01:26	51.484647000	-0.157969000	4.8	3.87	2.055	4.30	170		
T	2023-02-17 10:01:27	51.484653000	-0.157931000	4.8	6.12	2.057	2.72	170		
T	2023-02-17 10:01:28	51.484640000	-0.157849000	4.8	2.84	2.063	5.88	170		
T	2023-02-17 10:01:29	51.484644000	-0.157808000	4.8	5.78	2.066	2.88	170		
T	2023-02-17 10:01:30	51.484649000	-0.157768000	4.8	5.88	2.069	2.83	170		
T	2023-02-17 10:01:31	51.484642000	-0.157709000	4.8	4.00	2.073	4.17	170		
T	2023-02-17 10:01:32	51.484647000	-0.157683000	4.8	8.82	2.075	1.89	170		
T	2023-02-17 10:01:33	51.484666000	-0.157616000	4.9	3.26	2.080	5.11	170		
T	2023-02-17 10:01:34	51.484671000	-0.157594000	4.9	10.25	2.082	1.63	170		
T	2023-02-17 10:01:35	51.484676000	-0.157572000	4.9	10.25	2.083	1.63	170		
T	2023-02-17 10:01:36	51.484692000	-0.157507000	4.9	3.43	2.088	4.85	170		
T	2023-02-17 10:01:37	51.484698000	-0.157486000	4.9	10.39	2.090	1.60	170		
T	2023-02-17 10:01:38	51.484704000	-0.157424000	4.9	3.82	2.094	4.36	170		
T	2023-02-17 10:01:39	51.484708000	-0.157409000	4.9	14.71	2.095	1.13	172		
T	2023-02-17 10:01:40	51.484712000	-0.157393000	4.9	13.92	2.096	1.20	172		
T	2023-02-17 10:01:41	51.484723000	-0.157309000	4.9	2.80	2.102	5.96	172		
T	2023-02-17 10:01:42	51.484723000	-0.157277000	4.9	7.50	2.105	2.22	172		
T	2023-02-17 10:01:43	51.484723000	-0.157245000	4.9	7.50	2.107	2.22	172		
T	2023-02-17 10:01:44	51.484724000	-0.157165000	4.9	3.00	2.112	5.56	172		
T	2023-02-17 10:01:45	51.484725000	-0.157136000	4.9	8.26	2.114	2.02	172		
T	2023-02-17 10:01:46	51.484729000	-0.157071000	4.9	3.67	2.119	4.54	172		
T	2023-02-17 10:01:47	51.484740000	-0.157045000	4.9	7.64	2.121	2.18	173		
T	2023-02-17 10:01:48	51.484752000	-0.157020000	4.9	7.61	2.123	2.19	173		
T	2023-02-17 10:01:49	51.484770000	-0.156976000	4.9	4.56	2.127	3.65	173		
T	2023-02-17 10:01:50	51.484776000	-0.156954000	4.9	9.99	2.129	1.67	173		
T	2023-02-17 10:01:51	51.484772000	-0.156871000	4.9	2.88	2.134	5.78	173		
T	2023-02-17 10:01:52	51.484775000	-0.156843000	4.9	8.45	2.136	1.97	173		
T	2023-02-17 10:01:53	51.484778000	-0.156815000	4.9	8.45	2.138	1.97	172		
T	2023-02-17 10:01:54	51.484789000	-0.156740000	4.9	3.11	2.144	5.35	172		
T	2023-02-17 10:01:55	51.484794000	-0.156716000	4.9	9.48	2.145	1.76	172		
T	2023-02-17 10:01:56	51.484795000	-0.156644000	4.9	3.33	2.150	5.00	172		
T	2023-02-17 10:01:57	51.484794000	-0.156619000	4.9	9.58	2.152	1.74	172		
T	2023-02-17 10:01:58	51.484792000	-0.156595000	4.9	9.91	2.154	1.68	172		
T	2023-02-17 10:01:59	51.484806000	-0.156536000	4.9	3.80	2.158	4.38	172		
T	2023-02-17 10:02:00	51.484811000	-0.156510000	4.9	8.82	2.160	1.89	172		
T	2023-02-17 10:02:01	51.484819000	-0.156442000	4.9	3.47	2.165	4.81	172		
T	2023-02-17 10:02:02	51.484822000	-0.156413000	4.9	8.16	2.167	2.04	172		
T	2023-02-17 10:02:03	51.484824000	-0.156384000	5.0	8.22	2.169	2.03	172		
T	2023-02-17 10:02:04	51.484838000	-0.156337000	5.0	4.61	2.173	3.62	172		
T	2023-02-17 10:02:05	51.484843000	-0.156318000	5.0	11.64	2.174	1.43	172		
T	2023-02-17 10:02:06	51.484848000	-0.156299000	5.0	11.64	2.176	1.43	172		
T	2023-02-17 10:02:07	51.484839000	-0.156213000	5.0	2.75	2.182	6.06	172		
